iter	Passed	Remaining
0	2	2004
1	3	1889
2	5	1803
3	7	1752
4	8	1738
5	10	1729
6	11	1700
7	13	1681
8	15	1663
9	16	1647
10	18	1632
11	19	1625
12	21	1613
13	22	1610
14	24	1600
15	25	1593
16	27	1584
17	28	1573
18	30	1564
19	32	1573
20	33	1579
21	35	1582
22	37	1585
23	38	1584
24	40	1580
25	42	1594
26	44	1600
27	46	1597
28	47	1600
29	49	1594
30	50	1591
31	52	1585
32	54	1591
33	56	1592
34	57	1588
35	59	1586
36	60	1587
37	62	1584
38	64	1578
39	65	1580
40	67	1578
41	69	1575
42	70	1572
43	72	1574
44	74	1591
45	76	1593
46	78	1590
47	80	1592
48	81	1587
49	83	1584
50	85	1584
51	86	1582
52	88	1575
53	89	1571
54	91	1569
55	93	1569
56	94	1566
57	96	1561
58	97	1560
59	99	1556
60	101	1568
61	103	1571
62	105	1572
63	107	1568
64	108	1564
65	110	1560
66	111	1556
67	113	1557
68	115	1562
69	117	1565
70	119	1565
71	121	1566
72	123	1564
73	124	1561
74	126	1559
75	128	1559
76	129	1557
77	131	1554
78	133	1552
79	135	1552
80	136	1549
81	138	1545
82	139	1541
83	141	1544
84	143	1541
85	145	1541
86	146	1540
87	148	1536
88	149	1532
89	151	1528
90	152	1525
91	154	1523
92	155	1520
93	157	1517
94	159	1518
95	160	1514
96	162	1512
97	164	1510
98	166	1512
99	167	1509
100	169	1505
101	170	1502
102	172	1499
103	173	1497
104	175	1493
105	177	1492
106	178	1493
107	180	1490
108	182	1491
109	184	1489
110	185	1487
111	187	1487
112	189	1484
113	191	1485
114	192	1482
115	194	1480
116	195	1477
117	197	1474
118	198	1471
119	200	1468
120	201	1465
121	203	1467
122	205	1465
123	206	1461
124	208	1458
125	209	1455
126	212	1461
127	214	1461
128	216	1461
129	218	1460
130	219	1457
131	221	1454
132	222	1451
133	224	1450
134	226	1448
135	227	1447
136	229	1446
137	231	1443
138	232	1441
139	234	1439
140	235	1437
141	237	1434
142	239	1432
143	241	1433
144	242	1430
145	243	1427
146	245	1424
147	247	1422
148	248	1421
149	250	1418
150	252	1418
151	254	1418
152	255	1415
153	257	1413
154	258	1410
155	260	1407
156	261	1406
157	263	1403
158	265	1401
159	266	1400
160	268	1398
161	269	1395
162	271	1394
163	272	1391
164	274	1388
165	275	1385
166	277	1383
167	280	1386
168	282	1390
169	284	1388
170	286	1387
171	287	1385
172	289	1385
173	291	1386
174	293	1383
175	295	1381
176	296	1378
177	298	1376
178	299	1374
179	301	1371
180	303	1371
181	304	1369
182	306	1368
183	308	1365
184	309	1363
185	310	1360
186	312	1358
187	313	1355
188	315	1353
189	317	1351
190	318	1349
191	320	1346
192	321	1344
193	323	1342
194	324	1340
195	326	1338
196	327	1336
197	329	1334
198	331	1332
199	332	1331
200	334	1329
201	336	1327
202	337	1325
203	339	1325
204	341	1323
205	343	1323
206	345	1322
207	347	1321
208	348	1319
209	350	1318
210	352	1317
211	353	1315
212	355	1314
213	357	1313
214	359	1312
215	361	1311
216	362	1309
217	365	1309
218	366	1308
219	368	1306
220	370	1304
221	371	1303
222	373	1301
223	375	1299
224	376	1298
225	378	1296
226	379	1294
227	381	1292
228	383	1290
229	384	1288
230	387	1289
231	389	1288
232	390	1286
233	392	1284
234	393	1282
235	395	1280
236	396	1277
237	398	1276
238	400	1274
239	401	1271
240	403	1269
241	404	1267
242	406	1265
243	407	1263
244	409	1261
245	411	1260
246	413	1259
247	414	1258
248	416	1256
249	417	1253
250	419	1251
251	420	1249
252	422	1248
253	424	1246
254	426	1245
255	428	1243
256	429	1242
257	431	1240
258	433	1240
259	435	1239
260	437	1237
261	439	1236
262	441	1235
263	444	1238
264	446	1239
265	448	1237
266	450	1235
267	451	1233
268	453	1231
269	454	1229
270	456	1227
271	457	1225
272	459	1224
273	461	1221
274	462	1219
275	464	1219
276	466	1217
277	467	1215
278	469	1213
279	470	1210
280	472	1209
281	474	1207
282	475	1205
283	477	1204
284	479	1202
285	480	1200
286	482	1199
287	484	1197
288	486	1196
289	488	1194
290	489	1193
291	491	1190
292	492	1188
293	495	1189
294	496	1187
295	498	1185
296	500	1184
297	502	1184
298	504	1183
299	506	1181
300	507	1179
301	509	1177
302	510	1175
303	512	1172
304	514	1173
305	516	1171
306	518	1170
307	520	1168
308	522	1167
309	523	1165
310	525	1163
311	526	1161
312	528	1159
313	529	1157
314	531	1155
315	532	1153
316	534	1151
317	535	1148
318	537	1146
319	538	1145
320	540	1143
321	542	1141
322	543	1139
323	545	1137
324	546	1135
325	548	1133
326	550	1132
327	552	1131
328	553	1129
329	555	1127
330	557	1126
331	558	1124
332	560	1122
333	561	1120
334	563	1119
335	565	1117
336	567	1116
337	568	1114
338	570	1112
339	571	1110
340	573	1108
341	575	1107
342	577	1105
343	578	1104
344	580	1101
345	581	1100
346	583	1097
347	584	1095
348	586	1094
349	588	1093
350	590	1091
351	591	1089
352	593	1087
353	594	1085
354	596	1084
355	598	1082
356	600	1081
357	602	1079
358	603	1077
359	604	1075
360	606	1073
361	608	1071
362	609	1070
363	611	1068
364	613	1066
365	614	1064
366	616	1062
367	617	1060
368	618	1058
369	620	1056
370	621	1054
371	623	1052
372	627	1054
373	629	1053
374	630	1051
375	632	1049
376	634	1047
377	635	1046
378	637	1044
379	639	1043
380	640	1041
381	642	1039
382	643	1037
383	645	1036
384	647	1034
385	649	1032
386	650	1031
387	652	1029
388	653	1027
389	655	1025
390	657	1023
391	658	1021
392	659	1019
393	661	1017
394	663	1016
395	665	1014
396	667	1013
397	669	1011
398	670	1010
399	672	1009
400	675	1008
401	677	1007
402	679	1005
403	680	1004
404	682	1002
405	697	1021
406	700	1020
407	702	1019
408	704	1017
409	705	1015
410	707	1013
411	708	1011
412	710	1009
413	711	1007
414	714	1007
415	716	1005
416	718	1004
417	720	1002
418	721	1000
419	723	999
420	725	997
421	727	995
422	728	994
423	730	992
424	732	991
425	734	989
426	736	988
427	738	987
428	740	985
429	742	984
430	744	982
431	746	981
432	747	979
433	749	977
434	751	975
435	752	973
436	754	972
437	756	970
438	757	968
439	759	966
440	760	964
441	762	962
442	767	965
443	769	963
444	771	961
